,Rneck,Delta V (mV) Spine Head,Delta V (mV) Dendritic Shaft
330,101.73164864809132,16.60585317453811,11.751946596855817
331,101.93989430808921,16.61414143767648,11.750060669438291
332,102.68296740985852,16.643727465783996,11.74333600203559
333,102.90609270236591,16.652729362964124,11.741318221144162
334,103.20693821720377,16.664861607892377,11.738598671611314
335,103.21777022162844,16.665298319640918,11.738500776546879
336,103.23091981943729,16.665828458834696,11.738381938180545
337,105.22705843913256,16.74617179644467,11.720369190421813
338,107.98194446321311,16.856622079192938,11.695606234508048
339,108.26131394615741,16.867794830675635,11.693117023108186
340,108.5326731427217,16.878642330636815,11.6907001785383
341,109.42850022300757,16.914418504015764,11.682728503065938
342,111.6774487530219,17.004002708296568,11.662762787301169
343,112.3142302169268,17.029540935835996,11.657121743767448
344,112.31536144532289,17.029586535799908,11.657111727353353
345,112.99863658892579,17.05711379452572,11.65106478325852
346,117.04085642265063,17.219326977663755,11.615417416265643
347,117.40547921038561,17.23390587305051,11.612212466778246
348,117.68398143980465,17.24503544791711,11.609765673383805
349,121.22065648127104,17.38592455766083,11.578782409734032
350,121.80039982558272,17.408941261367865,11.573719120777142
351,124.60240084806205,17.521290433954185,11.549309039237635
352,130.62383756734204,17.761361869507944,11.497196202282197
353,133.52350561472397,17.87616273664247,11.472267165116456
354,133.77112757895202,17.886074177753734,11.47014329131651
355,134.19944776492454,17.90320858841342,11.466471400171642
356,136.03159154364775,17.976362045244514,11.450791222144353
357,138.20345283156934,18.062788606747702,11.432261380185338
358,138.38025416955725,18.069810351695992,11.43076541267127
359,140.35590420289807,18.148132871051637,11.414075394399696
360,142.18897221627873,18.220571668370837,11.398633362881263
361,144.13069306702891,18.297062617189816,11.382321477096006
362,144.2296668667078,18.300954896504805,11.381491274492632
363,145.5686167515318,18.353547846631066,11.370271897913582
364,145.78080271795625,18.361871586062506,11.368495971856184
365,146.83294943151174,18.40350453512834,11.35969804888061
